file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Sahith\Desktop\java\1\gson-main\gson\src\main\java\com\google\gson\internal\bind\TypeAdapters.java,com.google.gson.internal.bind.TypeAdapters$Anonymous3,anonymous,3,3,0,3,4,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,16,3,0,2,0,0,0,0,1,0,1,1,0,0,0,14,-1,0
C:\Users\Sahith\Desktop\java\1\gson-main\gson\src\main\java\com\google\gson\internal\bind\TypeAdapters.java,com.google.gson.internal.bind.TypeAdapters$Anonymous2,anonymous,4,4,0,4,11,1,0,13,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46,1,2,3,0,0,4,6,11,2,8,3,0,0,0,29,-1,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jpa\deferred\src\main\java\example\service\Customer1531Service.java,example.service.Customer1531Service,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\Sahith\Desktop\java\1\rest-assured-master\modules\spring-mock-mvc\src\main\java\io\restassured\module\mockmvc\internal\ResponseConverter.java,io.restassured.module.mockmvc.internal.ResponseConverter,class,5,7,2,5,2,1,0,30,0,0.0,NaN,NaN,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,1,1,0,2,1,2,1,0,0,0,20,0,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jpa\deferred\src\main\java\example\repo\Customer968Repository.java,example.repo.Customer968Repository,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\Sahith\Desktop\java\1\selenide-main\statics\src\test\java\integration\ChecksOnMissingParentElementTest.java,integration.ChecksOnMissingParentElementTest,class,5,5,0,5,4,3,0,11,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,9,1,1,0,0,0,0,0,1,24,16,0
C:\Users\Sahith\Desktop\java\1\selenide-main\statics\src\test\java\integration\errormessages\WaitMethodFailsOnTest.java,integration.errormessages.WaitMethodFailsOnTest,class,8,8,0,8,5,3,0,14,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0,0,16,6,5,0,4,0,0,0,4,34,16,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jpa\deferred\src\main\java\example\repo\Customer1089Repository.java,example.repo.Customer1089Repository,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\Sahith\Desktop\java\1\google-http-java-client-main\google-http-client\src\main\java\com\google\api\client\util\DateTime.java,com.google.api.client.util.DateTime,class,4,13,9,4,45,1,0,29,22,0.77310926,0.44761905,0.52380955,17,4,15,2,0,0,15,0,0,0,7,4,0,7,0,0,7,0,26,224,12,2,13,0,2,7,52,49,15,35,3,0,2,0,222,17,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jpa\deferred\src\main\java\example\repo\Customer673Repository.java,example.repo.Customer673Repository,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
